Maturity;June 2022
3 months;-0.3356
6 months;-0.2588
9 months;-0.1645
1 year;-0.0625
2 years;0.3255
3 years;0.6140
4 years;0.8104
5 years;0.9442
6 years;1.0382
7 years;1.1067
8 years;1.1585
9 years;1.1989
10 years;1.2313
11 years;1.2577
12 years;1.2798
13 years;1.2985
14 years;1.3145
15 years;1.3284
16 years;1.3405
17 years;1.3512
18 years;1.3607
19 years;1.3693
20 years;1.3769
21 years;1.3839
22 years;1.3902
23 years;1.3959
24 years;1.4012
25 years;1.4061
26 years;1.4105
27 years;1.4147
28 years;1.4186
29 years;1.4221
30 years;1.4255
